model,n_clusters,bic,aic,silhouette,calinski_harabasz,davies_bouldin,number_of_states_used,number_of_switches,mean_run_length,median_run_length,maximum_run_length,isolated_run_fraction
GaussianMixture,2,126849.19298473185,125902.18931245268,0.11907276466916217,166.69676515064248,2.4183590726589625,2,482,2.0683229813664594,2.0,11,0.4451345755693582
GaussianMixture,3,127425.6632746792,126002.70438887112,0.0613715168958054,110.66772866249677,3.0660404552318403,3,616,1.619124797406807,1.0,9,0.6450567260940032
GaussianMixture,4,127840.57664532514,125941.66254598815,-0.008918560369075814,29.443207389736415,6.550025475833411,4,641,1.5560747663551402,1.0,12,0.6869158878504673
GaussianMixture,5,128342.72967917142,125967.86036630551,-0.018275280599212157,40.384342093140184,5.8874892110455175,5,652,1.5298621745788668,1.0,8,0.6937212863705973
GaussianMixture,6,128874.57835621087,126023.75382981607,-0.016509150419157244,32.797251959695025,6.377376672891105,6,764,1.3058823529411765,1.0,5,0.7738562091503268
