model,n_clusters,inertia,silhouette,calinski_harabasz,davies_bouldin,number_of_states_used,number_of_switches,mean_run_length,median_run_length,maximum_run_length,isolated_run_fraction
KMeans,2,42354.07272665447,0.1288436541410091,181.0163339658234,2.329816291989395,2,472,2.112050739957717,2.0,9,0.427061310782241
KMeans,3,40317.130963772404,0.07024218196762924,120.1459886805629,2.9714061349398455,3,641,1.5560747663551402,1.0,8,0.6682242990654206
KMeans,4,39304.08331589506,0.05250263839170919,90.62789273302411,3.49836588132397,4,720,1.3855755894590847,1.0,8,0.7253814147018031
KMeans,5,38532.981154432906,0.044578398489074626,74.2342929870586,3.58470177811983,5,786,1.2693773824650572,1.0,5,0.7941550190597204
KMeans,6,37971.72795426418,0.0422531699501198,63.14007070127012,3.7322844806197146,6,818,1.2197802197802199,1.0,4,0.818070818070818
